"","generations","abundance"
"1",1,200
"2",2,356.8
"3",3,632.0555008
"4",4,1105.74036895268
"5",5,1892.51972303229
"6",6,3120.00502929283
"7",7,4837.25454210208
"8",8,6835.13565537677
"9",9,8565.71782548596
"10",10,9548.57033660689
"11",11,9893.41096804208
"12",12,9977.77329586972
"13",13,9995.51513706382
"14",14,9999.10141829312
"15",15,9999.8202190627
"16",16,9999.96404122685
"17",17,9999.99280814193
"18",18,9999.99856162425
"19",19,9999.99971232468
"20",20,9999.99994246493
